Feature,Average
CALC_plus_SCC_minus_SMOKE,0.147951247
CALC_plus_SMOKE_minus_SCC,0.14710213
TUE_ceil_round+CH2O_ceil_round,0.146788321
TUE_ceil_round,0.145182337
CAEC_map,0.144696716
MTRANS_plus_SCC_minus_FAVC,0.144165876
CAEC_map+FAVC_map,0.142238267
NCP_ceil_round+FAVC_map,0.142069185
MTRANS_plus_FAVC_minus_SCC,0.141698759
CAEC,0.141402657
Automobile+CALC_map,0.14046016
NCP_floor_round,0.139708075
CALC_map+FAVC_map,0.139134398
TUE_round+Gender_map,0.136287263
CH2O_ceil_round+Public_Transportation,0.136161714
CH2O_ceil_round+NCP_ceil_round,0.133451452
TUE_ceil_round+Automobile,0.13125944
CH2O_ceil_round+Automobile,0.131215009
Automobile+CAEC_map,0.13021487
FAF_ceil_round+NCP_ceil_round,0.130203529
FCVC_ceil_round+TUE_floor_round,0.128450994
TUE_floor_round+CALC_map,0.127991269
FAF_floor_round+FCVC_round,0.127255509
NCP_ceil_round,0.127163868
CH2O_round+CALC_map,0.126392799
NCP_ceil_round+Automobile,0.126264497
FAF_floor_round+family_history_with_overweight_map,0.123355985
CH2O_ceil_round,0.122208752
MTRANS_x_FAVC,0.118720691
TUE_round+family_history_with_overweight_map,0.117087773
FAF_floor_round+Automobile,0.115710257
CALC_map,0.115549324
MTRANS_minus_FAVC,0.115478987
CH2O_floor_round+family_history_with_overweight_map,0.115081442
CALC,0.11504335
NCP_ceil_round+TUE_round,0.114510423
FCVC_floor_round+Gender_map,0.11426178
FAF_floor_round+CALC_map,0.113625665
TUE_round+CAEC_map,0.113188315
TUE_floor_round,0.112872109
FCVC_round+TUE_round,0.111052309
CH2O_round+Public_Transportation,0.110327052
FAF_floor_round,0.107266945
CH2O_floor_round+FAF_floor_round,0.106864111
TUE_ceil_round+FAF_floor_round,0.104735906
TUE_floor_round+CH2O_floor_round,0.104379806
CH2O_floor_round+FCVC_round,0.103696316
NCP_ceil_round+CH2O_round,0.10215623
FAF_round,0.101167602
MTRANS_x_SCC,0.098315165
FAF_ceil_round+FCVC_ceil_round,0.097395146
MTRANS_minus_SCC,0.096664657
Automobile+FAVC_map,0.095314379
CAEC_gt_family_history_with_overweight,0.095024498
CH2O_round,0.093537648
